model,horizon,scenario,tavg,prcp
AS-RCEC/TaiESM1,far,ssp126,NA,NA
AS-RCEC/TaiESM1,far,ssp245,3.700053215026855,6.213644190050704
AS-RCEC/TaiESM1,far,ssp370,NA,NA
AS-RCEC/TaiESM1,far,ssp585,5.479026794433594,1.6962166689934284
AS-RCEC/TaiESM1,near,ssp126,NA,NA
AS-RCEC/TaiESM1,near,ssp245,1.985468864440918,6.484713109032518
AS-RCEC/TaiESM1,near,ssp370,NA,NA
AS-RCEC/TaiESM1,near,ssp585,2.7191925048828125,8.820792033133236
CMCC/CMCC-CM2-SR5,far,ssp126,2.5959434509277344,10.654218207556738
CMCC/CMCC-CM2-SR5,far,ssp245,3.390805244445801,4.3412315885267345
CMCC/CMCC-CM2-SR5,far,ssp370,4.018528938293457,-3.421079240958578
CMCC/CMCC-CM2-SR5,far,ssp585,5.363277435302734,-2.354870965204964
CMCC/CMCC-CM2-SR5,near,ssp126,1.7263059616088867,5.437774557057298
CMCC/CMCC-CM2-SR5,near,ssp245,1.8687801361083984,1.181929511162075
CMCC/CMCC-CM2-SR5,near,ssp370,1.8246116638183592,3.396362083881051
CMCC/CMCC-CM2-SR5,near,ssp585,2.2542219161987305,-1.9886076376015127
CMCC/CMCC-ESM2,far,ssp126,2.9332504272460938,9.832817882653348
CMCC/CMCC-ESM2,far,ssp245,3.66530704498291,5.60758978196988
CMCC/CMCC-ESM2,far,ssp370,3.967917442321778,-2.8450676322653714
CMCC/CMCC-ESM2,far,ssp585,4.978443145751953,-0.626245061028618
CMCC/CMCC-ESM2,near,ssp126,1.6665830612182615,5.941073531515877
CMCC/CMCC-ESM2,near,ssp245,1.5944156646728516,2.2595450093001057
CMCC/CMCC-ESM2,near,ssp370,1.8808069229125977,-1.3812610748522425
CMCC/CMCC-ESM2,near,ssp585,1.87469482421875,0.01760970294633321
CSIRO-ARCCSS/ACCESS-CM2,far,ssp126,NA,NA
CSIRO-ARCCSS/ACCESS-CM2,far,ssp245,3.5608596801757813,5.10836055767726
CSIRO-ARCCSS/ACCESS-CM2,far,ssp370,4.848304748535156,-1.85984447614226
CSIRO-ARCCSS/ACCESS-CM2,far,ssp585,NA,NA
CSIRO-ARCCSS/ACCESS-CM2,near,ssp126,NA,NA
CSIRO-ARCCSS/ACCESS-CM2,near,ssp245,2.517000198364258,1.7659780057976255
CSIRO-ARCCSS/ACCESS-CM2,near,ssp370,2.3800010681152344,2.4156812221046335
CSIRO-ARCCSS/ACCESS-CM2,near,ssp585,NA,NA
INM/INM-CM4-8,far,ssp126,1.2803325653076172,0.9303893898144272
INM/INM-CM4-8,far,ssp245,1.8090267181396484,-0.3184554287284161
INM/INM-CM4-8,far,ssp370,2.7748327255249023,0.9541174413667438
INM/INM-CM4-8,far,ssp585,3.4196386337280273,-3.391862527162381
INM/INM-CM4-8,near,ssp126,0.9329996109008788,-3.0072183230511924
INM/INM-CM4-8,near,ssp245,1.4495277404785156,-3.725304093713316
INM/INM-CM4-8,near,ssp370,1.3293333053588867,-4.724379948547577
INM/INM-CM4-8,near,ssp585,1.3662481307983398,-0.6906111846542137
INM/INM-CM5-0,far,ssp126,1.5013055801391602,1.0179332647361496
INM/INM-CM5-0,far,ssp245,2.245638847351074,5.068842177470756
INM/INM-CM5-0,far,ssp370,3.23233413696289,-0.2560145034053469
INM/INM-CM5-0,far,ssp585,3.633611679077149,3.021951100004912
INM/INM-CM5-0,near,ssp126,1.4798898696899414,-0.7717183595472357
INM/INM-CM5-0,near,ssp245,1.4715280532836914,4.816502523396553
INM/INM-CM5-0,near,ssp370,1.996389389038086,6.962614532804193
INM/INM-CM5-0,near,ssp585,2.058664321899414,0.42995737174777465
IPSL/IPSL-CM5A2-INCA,far,ssp126,4.341608047485352,-7.160131047007178
IPSL/IPSL-CM5A2-INCA,far,ssp245,NA,NA
IPSL/IPSL-CM5A2-INCA,far,ssp370,3.961888313293457,-6.017576360434026
IPSL/IPSL-CM5A2-INCA,far,ssp585,NA,NA
IPSL/IPSL-CM5A2-INCA,near,ssp126,2.081723213195801,-4.450670292665568
IPSL/IPSL-CM5A2-INCA,near,ssp245,NA,NA
IPSL/IPSL-CM5A2-INCA,near,ssp370,1.9563617706298828,-6.871754624517466
IPSL/IPSL-CM5A2-INCA,near,ssp585,NA,NA
IPSL/IPSL-CM6A-LR,far,ssp126,2.160194396972656,2.666021592992455
IPSL/IPSL-CM6A-LR,far,ssp245,3.3578319549560547,3.687954097915368
IPSL/IPSL-CM6A-LR,far,ssp370,4.49263858795166,1.7145379235417904
IPSL/IPSL-CM6A-LR,far,ssp585,NA,NA
IPSL/IPSL-CM6A-LR,near,ssp126,1.5959157943725586,1.761220886806536
IPSL/IPSL-CM6A-LR,near,ssp245,1.958390235900879,3.4019148502749825
IPSL/IPSL-CM6A-LR,near,ssp370,2.08286190032959,2.763631425273283
IPSL/IPSL-CM6A-LR,near,ssp585,NA,NA
NCAR/CESM2-WACCM,far,ssp126,NA,NA
NCAR/CESM2-WACCM,far,ssp245,2.2406692504882813,-2.9537576161370347
NCAR/CESM2-WACCM,far,ssp370,3.5673904418945313,-8.134179195272452
NCAR/CESM2-WACCM,far,ssp585,NA,NA
NCAR/CESM2-WACCM,near,ssp126,NA,NA
NCAR/CESM2-WACCM,near,ssp245,1.637833595275879,-0.6875042244817127
NCAR/CESM2-WACCM,near,ssp370,1.9138898849487305,-3.1700510800189403
NCAR/CESM2-WACCM,near,ssp585,NA,NA
NCC/NorESM2-LM,far,ssp126,NA,NA
NCC/NorESM2-LM,far,ssp245,2.1788063049316406,4.651455223027524
NCC/NorESM2-LM,far,ssp370,2.8273887634277344,0.94423740826267
NCC/NorESM2-LM,far,ssp585,3.972777366638184,0.48240700518989327
NCC/NorESM2-LM,near,ssp126,NA,NA
NCC/NorESM2-LM,near,ssp245,1.4579181671142578,1.9582066348110432
NCC/NorESM2-LM,near,ssp370,1.5906953811645508,3.451153432863135
NCC/NorESM2-LM,near,ssp585,1.7382802963256836,0.9922494798692432
NCC/NorESM2-MM,far,ssp126,1.3233060836791992,-1.9976157155444865
NCC/NorESM2-MM,far,ssp245,2.0101089477539063,-2.79997926709171
NCC/NorESM2-MM,far,ssp370,3.2098331451416016,-6.211579329290417
NCC/NorESM2-MM,far,ssp585,3.915999412536621,-8.902710827761371
NCC/NorESM2-MM,near,ssp126,0.980499267578125,-1.510392370289754
NCC/NorESM2-MM,near,ssp245,1.4783058166503906,3.4644689783859346
NCC/NorESM2-MM,near,ssp370,1.3412504196166992,-2.495205514953632
NCC/NorESM2-MM,near,ssp585,1.81844425201416,-2.231897579432953
NIMS-KMA/KACE-1-0-G,far,ssp126,2.365109443664551,-0.4960351713105155
NIMS-KMA/KACE-1-0-G,far,ssp245,2.87430477142334,-9.97479542865038
NIMS-KMA/KACE-1-0-G,far,ssp370,4.717555046081543,-7.206896154864276
NIMS-KMA/KACE-1-0-G,far,ssp585,5.833444595336914,-7.214952410546799
NIMS-KMA/KACE-1-0-G,near,ssp126,2.3846940994262695,-4.0062608615590145
NIMS-KMA/KACE-1-0-G,near,ssp245,2.617469787597656,-6.175695427499468
NIMS-KMA/KACE-1-0-G,near,ssp370,2.941554069519043,-2.828896638239603
NIMS-KMA/KACE-1-0-G,near,ssp585,2.928304672241211,-0.5593343231019097
NOAA-GFDL/GFDL-ESM4,far,ssp126,1.145305633544922,7.07174614244615
NOAA-GFDL/GFDL-ESM4,far,ssp245,2.3536386489868164,5.076279313050288
NOAA-GFDL/GFDL-ESM4,far,ssp370,3.2502222061157227,2.0538749891029564
NOAA-GFDL/GFDL-ESM4,far,ssp585,3.558417320251465,1.495946299363601
NOAA-GFDL/GFDL-ESM4,near,ssp126,1.1738605499267578,6.39961642402581
NOAA-GFDL/GFDL-ESM4,near,ssp245,1.590498924255371,8.348879783802605
NOAA-GFDL/GFDL-ESM4,near,ssp370,1.745194435119629,3.230755819021853
NOAA-GFDL/GFDL-ESM4,near,ssp585,1.683610916137695,8.09083776479816
