strid,rlz,tavg,prcp
1,1,0,-20
2,1,0,-10
3,1,0,0
4,1,0,10.000000000000014
5,1,0,20
6,1,1,-20
7,1,1,-10
8,1,1,0
9,1,1,10.000000000000014
10,1,1,20
11,1,2,-20
12,1,2,-10
13,1,2,0
14,1,2,10.000000000000014
15,1,2,20
16,1,3,-20
17,1,3,-10
18,1,3,0
19,1,3,10.000000000000014
20,1,3,20
21,1,4,-20
22,1,4,-10
23,1,4,0
24,1,4,10.000000000000014
25,1,4,20
26,2,0,-20
27,2,0,-10
28,2,0,0
29,2,0,10.000000000000014
30,2,0,20
31,2,1,-20
32,2,1,-10
33,2,1,0
34,2,1,10.000000000000014
35,2,1,20
36,2,2,-20
37,2,2,-10
38,2,2,0
39,2,2,10.000000000000014
40,2,2,20
41,2,3,-20
42,2,3,-10
43,2,3,0
44,2,3,10.000000000000014
45,2,3,20
46,2,4,-20
47,2,4,-10
48,2,4,0
49,2,4,10.000000000000014
50,2,4,20
51,3,0,-20
52,3,0,-10
53,3,0,0
54,3,0,10.000000000000014
55,3,0,20
56,3,1,-20
57,3,1,-10
58,3,1,0
59,3,1,10.000000000000014
60,3,1,20
61,3,2,-20
62,3,2,-10
63,3,2,0
64,3,2,10.000000000000014
65,3,2,20
66,3,3,-20
67,3,3,-10
68,3,3,0
69,3,3,10.000000000000014
70,3,3,20
71,3,4,-20
72,3,4,-10
73,3,4,0
74,3,4,10.000000000000014
75,3,4,20
76,4,0,-20
77,4,0,-10
78,4,0,0
79,4,0,10.000000000000014
80,4,0,20
81,4,1,-20
82,4,1,-10
83,4,1,0
84,4,1,10.000000000000014
85,4,1,20
86,4,2,-20
87,4,2,-10
88,4,2,0
89,4,2,10.000000000000014
90,4,2,20
91,4,3,-20
92,4,3,-10
93,4,3,0
94,4,3,10.000000000000014
95,4,3,20
96,4,4,-20
97,4,4,-10
98,4,4,0
99,4,4,10.000000000000014
100,4,4,20
101,5,0,-20
102,5,0,-10
103,5,0,0
104,5,0,10.000000000000014
105,5,0,20
106,5,1,-20
107,5,1,-10
108,5,1,0
109,5,1,10.000000000000014
110,5,1,20
111,5,2,-20
112,5,2,-10
113,5,2,0
114,5,2,10.000000000000014
115,5,2,20
116,5,3,-20
117,5,3,-10
118,5,3,0
119,5,3,10.000000000000014
120,5,3,20
121,5,4,-20
122,5,4,-10
123,5,4,0
124,5,4,10.000000000000014
125,5,4,20
